"postiid","kandidatiname","kohapostimit","nrlike","nrReaction","nrkomenteve","nrshare"
"538814499513242_1684289081632439","avdullah.hoti","2017-10-16 19:11:16","151","152","0","3"
"538814499513242_1684311534963527","avdullah.hoti","2017-10-16 19:40:04","158","159","1","0"
"538814499513242_1684338951627452","avdullah.hoti","2017-10-16 20:19:45","99","100","1","0"
"538814499513242_1684340248293989","avdullah.hoti","2017-10-16 20:21:33","75","76","0","0"
"538814499513242_1684394251621922","avdullah.hoti","2017-10-16 21:38:36","319","321","5","1"
"538814499513242_1685082694886411","avdullah.hoti","2017-10-17 16:57:31","45","46","0","0"
"538814499513242_1685195834875097","avdullah.hoti","2017-10-17 19:37:35","477","479","2","12"
"538814499513242_1685198678208146","avdullah.hoti","2017-10-17 19:41:21","908","912","13","9"
"538814499513242_1685215554873125","avdullah.hoti","2017-10-17 20:02:40","198","199","1","6"
"538814499513242_1685227191538628","avdullah.hoti","2017-10-17 20:18:37","550","551","7","11"
"538814499513242_1685251921536155","avdullah.hoti","2017-10-17 20:53:55","574","576","2","7"
"538814499513242_1685281158199898","avdullah.hoti","2017-10-17 21:39:07","196","197","0","5"
"538814499513242_1685326161528731","avdullah.hoti","2017-10-17 22:58:10","130","131","0","1"
"538814499513242_1685733281488019","avdullah.hoti","2017-10-18 10:47:33","104","105","2","0"
"538814499513242_1685808068147207","avdullah.hoti","2017-10-18 13:02:53","333","334","7","0"
"538814499513242_1685926768135337","avdullah.hoti","2017-10-18 15:58:30","697","699","7","7"
"538814499513242_1685975298130484","avdullah.hoti","2017-10-18 16:58:40","1044","1046","9","5"
"538814499513242_1686006818127332","avdullah.hoti","2017-10-18 17:38:25","471","475","1","0"
"538814499513242_1686023014792379","avdullah.hoti","2017-10-18 18:02:25","67","68","1","0"
"538814499513242_1686032294791451","avdullah.hoti","2017-10-18 18:15:17","305","306","0","0"
"538814499513242_1686171671444180","avdullah.hoti","2017-10-18 21:03:05","203","204","0","5"
"538814499513242_1686302554764425","avdullah.hoti","2017-10-19 08:00:55","126","127","0","14"
"538814499513242_1686335178094496","avdullah.hoti","2017-10-19 09:00:27","117","118","0","2"
"538814499513242_1686337261427621","avdullah.hoti","2017-10-19 11:00:31","124","125","0","12"
"538814499513242_1686848318043182","avdullah.hoti","2017-10-19 16:03:43","97","98","0","0"
"538814499513242_1686854308042583","avdullah.hoti","2017-10-19 16:12:23","235","236","1","2"
"538814499513242_1686864044708276","avdullah.hoti","2017-10-19 16:25:24","98","100","1","13"
"538814499513242_1686898098038204","avdullah.hoti","2017-10-19 20:00:06","82","83","0","10"
"538814499513242_1686913004703380","avdullah.hoti","2017-10-19 17:18:49","999","1005","8","6"
"538814499513242_1686913628036651","avdullah.hoti","2017-10-19 17:19:52","2067","2288","775","387"
"538814499513242_1687069234687757","avdullah.hoti","2017-10-19 20:35:54","71","72","1","2"
"538814499513242_1687125244682156","avdullah.hoti","2017-10-19 21:52:33","353","354","5","16"
"538814499513242_1687197924674888","avdullah.hoti","2017-10-19 23:40:54","138","139","0","3"
"538814499513242_1687234318004582","avdullah.hoti","2017-10-20 00:37:20","722","725","7","13"
"538814499513242_1687237721337575","avdullah.hoti","2017-10-20 00:44:19","301","302","3","9"
"538814499513242_1687242421337105","avdullah.hoti","2017-10-20 00:51:21","159","160","2","0"
"538814499513242_1687243688003645","avdullah.hoti","2017-10-20 00:53:19","207","208","1","1"
"538814499513242_1687819944612686","avdullah.hoti","2017-10-20 13:15:56","571","577","7","8"
"538814499513242_1688096377918376","avdullah.hoti","2017-10-20 19:01:46","590","596","22","7"
"538814499513242_1688140037914010","avdullah.hoti","2017-10-20 20:05:48","118","119","0","2"
"538814499513242_1688142521247095","avdullah.hoti","2017-10-20 20:08:34","317","319","3","2"
"538814499513242_1688145057913508","avdullah.hoti","2017-10-20 20:12:02","190","194","12","18"
"538814499513242_1688166874577993","avdullah.hoti","2017-10-20 20:28:49","626","628","6","7"
"538814499513242_1688268517901162","avdullah.hoti","2017-10-20 22:50:39","398","402","4","4"
"538814499513242_1688272004567480","avdullah.hoti","2017-10-20 22:53:52","515","518","5","6"
"538814499513242_1688286217899392","avdullah.hoti","2017-10-20 23:16:32","291","292","1","8"
"538814499513242_1689063437821670","avdullah.hoti","2017-10-21 21:01:08","687","689","11","3"
"538814499513242_1689974844397196","avdullah.hoti","2017-10-22 20:39:01","2544","2585","205","26"
"538814499513242_1690023994392281","avdullah.hoti","2017-10-22 21:55:13","784","800","13","2"
"538814499513242_1690797180981629","avdullah.hoti","2017-10-23 19:27:27","683","697","15","13"
"538814499513242_1690840197643994","avdullah.hoti","2017-10-23 19:55:06","192","193","2","0"
"538814499513242_1691598037568210","avdullah.hoti","2017-10-24 14:20:03","962","964","13","1"
"538814499513242_1691735317554482","avdullah.hoti","2017-10-24 16:58:23","473","473","8","0"
"538814499513242_1692438264150854","avdullah.hoti","2017-10-25 20:00:36","144","144","0","0"
"538814499513242_1692895324105148","avdullah.hoti","2017-10-25 20:20:41","365","366","1","4"
"538814499513242_1693526617375352","avdullah.hoti","2017-10-26 12:58:00","72","73","0","0"
"538814499513242_1693576040703743","avdullah.hoti","2017-10-26 14:09:56","122","122","0","3"
"538814499513242_1693593604035320","avdullah.hoti","2017-10-26 14:33:32","70","71","0","0"
"538814499513242_1693851517342862","avdullah.hoti","2017-10-26 20:16:17","375","376","2","1"
"538814499513242_1693915840669763","avdullah.hoti","2017-10-26 21:48:48","509","510","7","16"
"538814499513242_1693975810663766","avdullah.hoti","2017-10-26 23:20:37","233","235","1","6"
"538814499513242_1694962963898384","avdullah.hoti","2017-10-27 22:31:43","92","93","2","0"
"538814499513242_1695032653891415","avdullah.hoti","2017-10-28 00:24:04","288","288","2","3"
"538814499513242_1695426743852006","avdullah.hoti","2017-10-28 11:08:05","218","219","2","11"
"538814499513242_1695438703850810","avdullah.hoti","2017-10-28 11:26:51","69","69","1","1"
"538814499513242_1695873653807315","avdullah.hoti","2017-10-28 20:29:27","2850","2861","83","0"
"538814499513242_1697807243613956","avdullah.hoti","2017-10-30 18:47:58","144","144","2","0"
"538814499513242_1698768413517839","avdullah.hoti","2017-10-31 17:30:18","307","308","13","11"
"538814499513242_1698867930174554","avdullah.hoti","2017-10-31 19:39:55","532","532","11","9"
"538814499513242_1698894046838609","avdullah.hoti","2017-10-31 20:14:15","318","320","9","2"
"538814499513242_1698934896834524","avdullah.hoti","2017-10-31 21:19:56","305","308","5","5"
"538814499513242_1698949240166423","avdullah.hoti","2017-10-31 21:42:06","130","130","0","3"
"538814499513242_1699402686787745","avdullah.hoti","2017-11-01 09:48:11","200","204","4","8"
"538814499513242_1699794110081936","avdullah.hoti","2017-11-01 18:29:16","193","193","2","0"
"538814499513242_1699795270081820","avdullah.hoti","2017-11-01 18:30:41","230","231","1","0"
"538814499513242_1699800240081323","avdullah.hoti","2017-11-01 18:37:27","427","429","17","0"
"538814499513242_1700586576669356","avdullah.hoti","2017-11-02 15:32:52","132","134","0","2"
"538814499513242_1701362286591785","avdullah.hoti","2017-11-03 11:33:42","161","161","0","1"
"538814499513242_1701381536589860","avdullah.hoti","2017-11-03 11:56:39","232","232","0","2"
"538814499513242_1701628526565161","avdullah.hoti","2017-11-03 17:28:08","366","366","8","2"
"538814499513242_1701846669876680","avdullah.hoti","2017-11-03 22:08:44","55","55","0","0"
"538814499513242_1702659659795381","avdullah.hoti","2017-11-04 18:45:47","535","535","3","2"
"538814499513242_1702665469794800","avdullah.hoti","2017-11-04 18:53:05","630","633","7","2"
"538814499513242_1702670949794252","avdullah.hoti","2017-11-04 18:58:12","298","298","0","2"
"538814499513242_1702672399794107","avdullah.hoti","2017-11-04 19:00:03","319","319","4","1"
"538814499513242_1702703366457677","avdullah.hoti","2017-11-04 19:45:57","82","82","1","0"
"538814499513242_1703382249723122","avdullah.hoti","2017-11-05 14:19:01","508","510","23","9"
"538814499513242_1703392576388756","avdullah.hoti","2017-11-05 14:31:42","481","487","20","16"
"538814499513242_1703491009712246","avdullah.hoti","2017-11-05 16:26:46","365","374","24","23"
"538814499513242_1703507883043892","avdullah.hoti","2017-11-05 16:51:32","130","130","1","0"
"538814499513242_1704326739628673","avdullah.hoti","2017-11-06 13:07:07","48","48","1","1"
